,embedding,node_id
0,"[ 0.          2.72546768  3.18541241  4.66047764  0.          3.04852033
  0.08307982  0.          0.18516989  0.          0.          5.15668058
  0.          0.          6.67502165  0.17534691  2.58468723  0.          0.
  1.85231507  0.          2.55373788  0.          0.          4.32483387
  1.02201569  3.53555822  0.          2.47253036  5.10089064  1.74821532
  1.25650549]",30
1,"[ 0.          2.59985185  2.88192296  3.9154439   0.          2.77778864
  0.11532649  0.          0.          0.          0.          4.73993874
  0.          0.          5.68907738  0.          2.02325702  0.          0.
  1.73915231  0.08010642  2.36389446  0.          0.          3.8225646
  0.77719945  3.23237991  0.          2.16094542  4.79874611  1.72091925
  1.14201021]",128
2,"[ 0.          2.53826094  3.12333441  4.40892172  0.          3.18459225
  0.41789472  0.          0.          0.          0.          5.21860123
  0.          0.          5.97742367  0.          2.46159673  0.          0.
  1.65400231  0.          2.42152214  0.          0.          3.81943107
  0.08615877  3.19641113  0.          1.98483372  5.01033497  1.88288641
  1.20081007]",99
3,"[ 0.          2.25568438  2.57104635  3.28979015  0.          2.58314657
  0.31574312  0.          0.26478696  0.          0.          4.30236578
  0.          0.          5.38727093  0.10192108  2.546206    0.          0.
  1.1596446   0.          2.2163105   0.          0.          2.89831424
  0.1720567   2.47391748  0.          2.07592225  3.9085865   1.58400035
  1.09750259]",129
4,"[ 0.          2.59058857  3.2057209   3.60509419  0.6521194   2.48009181
  0.          0.          0.57075727  0.          0.          3.73143888
  0.          0.          6.18728495  0.4575167   1.9400878   0.          0.
  1.19092643  0.22514798  3.74126387  0.          0.          4.14771032
  1.40084743  2.76817799  0.          3.39669037  3.91117907  2.53310895
  0.63966507]",120
5,"[ 0.          1.99349928  2.51241016  3.51676559  0.31901145  2.64241791
  0.29351971  0.          1.36514425  0.          0.          3.09688783
  0.          0.24079339  5.80004454  0.55681837  2.09989595  0.          0.
  1.3392216   0.43130964  2.62444687  0.          0.          3.90698266
  1.08215559  2.56211543  0.          3.19435406  3.68370676  2.05672717
  0.84754372]",130
6,"[ 0.          2.37625599  2.23249507  3.58222914  0.          2.80019712
  0.33510095  0.          0.          0.          0.          4.49612904
  0.          0.          5.64595318  0.          2.58839798  0.          0.
  1.46506202  0.06522883  1.83431947  0.          0.          3.2944715
  0.21305898  2.67922354  0.          1.69581628  4.09944057  1.24682868
  1.447065  ]",365
7,"[ 0.          1.98446274  2.2513442   3.51075029  0.          2.672539
  0.21548167  0.          0.05474612  0.          0.          4.43476486
  0.          0.          5.75786304  0.07062003  2.42323709  0.          0.
  1.45198357  0.          1.54258776  0.          0.          3.25406313
  0.4214218   2.73149061  0.          2.24544764  4.00658131  1.36427081
  1.68033993]",87
8,"[ 0.          2.33910847  2.52706885  4.10358667  0.          3.22297621
  0.27729154  0.          0.          0.          0.          5.09727287
  0.          0.          5.76560068  0.          2.40773678  0.          0.
  1.39930844  0.          2.286134    0.          0.          3.91889977
  0.30602771  3.04538751  0.          1.93087852  4.39700937  1.58109343
  1.53334463]",80
9,"[ 0.          2.11011171  2.41368222  3.56841803  0.          2.6816237
  0.47122318  0.          0.          0.          0.          4.37765789
  0.          0.          5.30700541  0.          2.37783241  0.          0.
  1.47492111  0.          1.60489058  0.          0.          3.12387657
  0.32273388  2.7032578   0.          1.80157447  4.12043715  1.32219088
  1.26993108]",366
10,"[ 0.          2.26461482  2.24364305  3.61547995  0.          2.96571422
  0.0217217   0.          0.25667053  0.          0.          4.15338898
  0.          0.          5.44287682  0.12231309  2.23055363  0.          0.
  1.8385582   0.17194961  2.12417197  0.          0.          3.64781022
  0.56599373  2.99243021  0.          2.04903269  4.37886     1.62108147
  0.75568891]",792
11,"[ 0.          2.06493497  1.89700496  3.26257801  0.          2.95237184
  0.44192478  0.          0.12858215  0.          0.          4.11137486
  0.          0.          5.28761578  0.          2.19287729  0.          0.
  1.4162035   0.15928923  1.6263504   0.          0.          3.31408572
  0.63041174  2.6224246   0.          1.60731745  4.07281065  1.13981807
  1.23188889]",841
12,"[ 0.          2.43728423  2.26958585  4.15132856  0.          3.41251445
  0.42600438  0.          0.3680709   0.          0.          4.79253101
  0.          0.          6.24003649  0.16226593  2.45510364  0.          0.
  1.61753273  0.12972666  1.54664445  0.          0.          3.96583581
  1.21487045  3.12877011  0.          2.46936607  4.45043087  1.42784917
  1.31251276]",65
13,"[ 0.          2.36749578  1.86076725  3.60804152  0.          3.04861951
  0.33616874  0.          0.4250249   0.          0.          4.2409482   0.
  0.          5.58438873  0.26794654  2.18848085  0.          0.          1.2069397
  0.09618238  1.8479811   0.          0.          3.43026185  0.85798573
  2.8573873   0.          2.47391677  4.36878729  1.81587863  1.30508232]",842
14,"[ 0.          2.24585366  3.05093169  3.78438854  0.          3.4799614
  0.42916518  0.          0.35991612  0.          0.          4.57260847
  0.          0.          6.09325266  0.12005082  1.67250323  0.          0.
  2.00900865  0.36020607  2.96524549  0.          0.          4.46257067
  0.33509129  3.49482799  0.          2.25766873  4.48940182  2.61948919
  0.66232276]",751
