,embedding,node_id
0,"[ 3.3500669   0.46313447  2.44805765  0.09339108  1.0650245   0.
  3.70456243  0.          3.47281337  0.50461048  4.60742521  0.          0.
  1.50451946  0.06801823  3.88644624  4.12668562  0.          0.
  0.90784121  1.85364676  0.16683222  0.24775971  1.56064475  0.          0.
  1.27581429  0.36301297  0.          0.60342813  0.          1.88746595]",30
1,"[ 2.92895222  0.97617954  2.31131005  0.          0.86431646  0.
  3.09688544  0.          2.90280199  0.31290078  3.86186576  0.          0.
  0.71834201  0.03086621  3.3062396   3.43307161  0.          0.
  1.06693816  1.47547162  0.56710148  0.50821984  1.31671202  0.          0.
  0.7498163   0.80460536  0.          0.75525975  0.          1.8994112 ]",128
2,"[ 3.0567255   0.55367285  2.24338055  0.          1.14177358  0.
  3.46450281  0.          3.41599917  0.41542748  4.27795553  0.          0.
  0.84754938  0.08677992  3.43104768  3.71804523  0.          0.
  0.94383764  1.81143451  0.65447718  0.61034757  1.71035171  0.          0.
  0.35829115  0.77415597  0.          0.91816646  0.          2.37542486]",99
3,"[ 3.01502323  0.50785476  2.07193637  0.29695907  0.94720972  0.
  3.32961679  0.          3.08311415  0.44000697  4.04560232  0.          0.
  0.84977245  0.02018543  3.28100753  3.37853408  0.          0.
  0.70505393  1.79595757  0.5935964   0.49923742  1.43880022  0.          0.
  0.48542666  0.53793257  0.          0.62231165  0.          2.12486362]",129
4,"[  2.88688350e+00   0.00000000e+00   2.11106563e+00   4.26031440e-01
   1.06212938e+00   0.00000000e+00   3.76558924e+00   0.00000000e+00
   4.25025558e+00   3.04048270e-01   4.84532404e+00   0.00000000e+00
   0.00000000e+00   1.99698281e+00   1.96999684e-02   3.61768866e+00
   4.08109522e+00   0.00000000e+00   0.00000000e+00   2.57786632e-01
   1.48009741e+00   3.26825399e-03   1.85653985e-01   2.00150919e+00
   0.00000000e+00   5.69753826e-01   9.60632622e-01   8.93431664e-01
   0.00000000e+00   1.19903963e-02   0.00000000e+00   2.43360472e+00]",120
5,"[ 3.35951257  0.          2.27077746  0.37995115  1.16342533  0.          3.7220819
  0.          3.50184965  0.27285805  5.13012266  0.          0.
  1.21252918  0.          3.3922689   3.84825778  0.          0.          0.4285396
  1.49954224  0.38153177  0.1006039   1.70638442  0.          0.56015962
  1.27044332  0.3595598   0.          0.40672585  0.          2.18086624]",130
6,"[ 2.85250068  0.68616349  2.34278274  0.          0.83212847  0.
  2.97214603  0.          3.22091961  0.44129401  3.85748911  0.          0.
  0.97008044  0.07226956  3.43652678  3.32545853  0.          0.
  0.80864477  1.65451884  0.63785011  0.47795331  1.40257239  0.          0.
  0.76373523  0.47383714  0.          1.0191586   0.          1.81140816]",365
7,"[ 2.89665961  1.11113048  2.78018761  0.28025326  1.13399923  0.          3.3530755
  0.          3.26799035  0.09805785  3.19837356  0.64781481  0.
  1.21735275  0.46516547  4.00262213  3.90691996  0.          0.
  1.36118925  2.2645452   0.86331809  0.99027574  1.4084233   0.          0.
  0.45739925  0.89440322  0.          1.81405222  0.          1.57096648]",87
8,"[ 3.16408587  0.70123488  2.29978657  0.31379792  0.75494558  0.
  3.23108578  0.          3.57675123  0.17553934  3.71841097  0.          0.
  1.14109933  0.03999865  3.5093298   3.50315404  0.          0.          0.6915589
  2.07948709  0.67715484  0.22069524  1.35963178  0.          0.
  0.37197465  0.63541287  0.          1.1312598   0.          1.97425973]",80
9,"[ 3.04938054  0.88828653  2.35235858  0.          0.8858692   0.
  3.21693301  0.          3.19168544  0.45868453  3.66274214  0.15061708
  0.          1.04990029  0.13894393  3.51184797  3.59515238  0.          0.
  1.20955527  1.61584139  0.54610473  0.66582686  1.57220638  0.          0.
  0.34845591  0.91509056  0.          1.02596045  0.          1.93953168]",366
10,"[ 3.27366638  0.70474511  2.37282562  0.06154463  1.08034205  0.
  3.32243204  0.          3.02684832  0.13655633  4.082232    0.          0.
  1.2162677   0.          3.26035047  3.47312808  0.          0.
  0.69971722  1.7975533   0.81935126  0.44883806  1.29352486  0.          0.
  1.06543946  0.83805716  0.          0.59394854  0.          1.9946034 ]",792
11,"[ 3.41159511  0.83817983  2.76946807  0.29438007  0.49977902  0.
  3.41263986  0.          3.19214606  0.08493558  4.35740948  0.          0.
  1.08045924  0.          3.71045661  3.3510468   0.          0.
  0.89151543  1.81189871  0.55954438  0.15453574  1.47195184  0.
  0.03028449  1.32503545  0.38700891  0.          0.67744863  0.
  2.04866886]",841
12,"[ 3.72133708  0.55500215  3.06046343  0.          0.73235571  0.
  3.93806195  0.          3.86145306  0.56337613  4.87924528  0.          0.
  1.48782706  0.          4.13255978  4.07577562  0.          0.
  0.87405229  1.9899056   0.67448401  0.35253096  2.13039994  0.          0.
  0.84423035  0.36241186  0.          0.61863732  0.          2.34171057]",65
13,"[ 3.33151698  0.45110336  2.17111349  0.          0.70314288  0.
  3.16510248  0.          3.1806941   0.31493422  4.25266504  0.          0.
  1.13452733  0.          3.03272247  3.38432741  0.          0.
  0.45093998  1.87394476  0.61743546  0.          1.2081641   0.          0.
  0.95366699  0.24312368  0.          0.68183398  0.          2.07879305]",842
14,"[ 3.15170217  0.69257724  2.90591621  0.76774061  1.88355553  0.
  4.35564756  0.          3.34058094  0.          4.38199997  0.00829111
  0.          0.79584974  0.42384592  4.04849815  4.51592255  0.          0.
  0.26387918  1.87729716  0.13995299  1.05009174  0.99062288  0.54226315
  0.          1.9994092   0.5840326   0.          0.53650033  0.21492667
  1.46010292]",751
15,"[ 2.51440263  0.29817915  2.49180937  0.30086863  1.44598806  0.
  3.21147108  0.          2.89651108  0.2849856   3.83276248  0.          0.
  0.95752889  0.02897698  2.94479275  4.02326393  0.          0.
  0.14952756  1.43527973  0.45922235  0.70470828  1.41967642  0.          0.
  1.40229309  0.5208652   0.          0.4855614   0.          1.53012514]",935
16,"[ 2.02607083  0.          2.69395733  1.15746558  0.71540368  0.
  2.82094193  0.23801571  2.45581937  0.          2.88302565  0.23301464
  0.          1.5774684   0.02718681  2.45014691  2.5971179   0.35398135
  0.          0.          1.16742361  0.23223683  0.84951901  1.41304362
  0.          0.          1.02056992  0.56951952  0.          0.          0.
  0.78533185]",36
17,"[  1.88291538e+00   6.55822456e-04   2.49146843e+00   1.00631952e+00
   1.22543550e+00   0.00000000e+00   2.35640311e+00   2.69359231e-01
   2.65979099e+00   0.00000000e+00   2.99114776e+00   3.78553241e-01
   0.00000000e+00   2.09434843e+00   1.21193446e-01   2.67634630e+00
   2.81033206e+00   1.23538002e-01   0.00000000e+00   0.00000000e+00
   1.26240861e+00   1.67385638e-01   1.06983423e+00   1.14669430e+00
   0.00000000e+00   0.00000000e+00   1.15329468e+00   1.51724637e-01
   0.00000000e+00   0.00000000e+00   2.50215262e-01   6.96417451e-01]",37
18,"[ 2.42580533  0.30990779  2.77205348  1.22029185  1.10015106  0.
  2.82326531  0.47194839  2.73346233  0.          3.74867558  0.88043338
  0.          2.03588128  0.          3.04524088  3.17656469  0.36517239
  0.          0.          1.43179011  0.78846896  1.07073009  0.95634383
  0.          0.          1.22171605  0.68159127  0.          0.          0.
  0.87739366]",38
19,"[ 1.77556491  0.          1.76872897  0.92037719  0.65232176  0.
  2.04667783  0.28566337  2.1543107   0.          2.91063929  0.50632483
  0.          1.31614447  0.10038441  1.78485692  2.31418896  0.30830121
  0.          0.          1.10400784  0.27852491  0.55728525  0.90166849
  0.          0.          0.87821704  0.          0.          0.
  0.00394297  0.72231734]",39
20,"[ 2.22903585  0.13026202  2.35005355  1.06943429  1.73864663  0.          2.9259901
  0.01888251  2.94342065  0.          3.57592988  0.4678939   0.
  1.63009989  0.31888315  3.11235213  3.58939362  0.19904347  0.          0.
  1.21707201  0.          1.09675598  0.8955043   0.          0.
  1.48113656  0.17953444  0.          0.          0.16970332  0.56936896]",434
21,"[ 2.83365369  0.05918906  2.94826126  1.25408995  1.46253276  0.
  3.50283766  0.          3.4311645   0.          4.08718157  0.01553428
  0.          1.56293237  0.13099752  3.48431039  3.9903903   0.          0.
  0.          1.76577759  0.21129224  1.0286808   1.28744006  0.          0.
  1.56222224  0.33423069  0.          0.22187744  0.19933838  0.96227628]",158
22,"[ 2.44823337  0.23534527  2.91235113  0.8342818   1.14811134  0.
  2.56270814  0.          2.54820538  0.23979828  2.25598478  0.          0.
  1.9993943   0.32725987  3.61982536  2.89781976  0.21626626  0.
  0.32545063  1.36867809  0.45365372  1.32193017  1.36937416  0.          0.
  0.01359301  0.82199728  0.05538942  0.29181802  0.12381358  1.49482763]",41
23,"[ 2.17747521  0.          2.62753248  1.02600718  1.07290995  0.
  2.44766474  0.          2.69011211  0.15258072  2.26673579  0.          0.
  2.08096957  0.29389003  3.46277833  2.88139915  0.          0.
  0.30330428  1.15506065  0.09095433  0.73254323  0.9776696   0.          0.
  0.03448043  0.57963628  0.          0.51594925  0.          1.01550293]",962
