Source	Target	Type	Id	Label	timeset	Weight
1285	3211	Directed	3926			1
468	2914	Directed	3927			1
416	3825	Directed	3928			1
126	2566	Directed	3929			1
126	1329	Directed	3930			1
288	3831	Directed	3931			1
407	2203	Directed	3932			1
473	3720	Directed	3933			1
282	1338	Directed	3934			1
282	1339	Directed	3935			1
282	2851	Directed	3936			1
686	2814	Directed	3937			1
575	3609	Directed	3938			1
575	1348	Directed	3939			1
199	3160	Directed	3940			1
199	3161	Directed	3941			1
199	3248	Directed	3942			1
199	3292	Directed	3943			1
112	3780	Directed	3944			1
113	3780	Directed	3945			1
113	2309	Directed	3946			1
113	1361	Directed	3947			1
62	3571	Directed	3948			1
923	3931	Directed	3949			1
542	1631	Directed	3950			1
466	2105	Directed	3951			1
466	3730	Directed	3952			1
77	3712	Directed	3953			1
856	1394	Directed	3954			1
856	3830	Directed	3955			1
856	1396	Directed	3956			1
643	3554	Directed	3957			1
545	1402	Directed	3958			1
545	2974	Directed	3959			1
664	1515	Directed	3960			1
157	2966	Directed	3961			1
30	1420	Directed	3962			1
30	1421	Directed	3963			1
30	3553	Directed	3964			1
30	3539	Directed	3965			1
30	1424	Directed	3966			1
30	3985	Directed	3967			1
30	3057	Directed	3968			1
30	3904	Directed	3969			1
30	1428	Directed	3970			1
30	3331	Directed	3971			1
30	1430	Directed	3972			1
30	1431	Directed	3973			1
1080	2120	Directed	3974			1
120	2565	Directed	3975			1
120	3539	Directed	3976			1
120	2105	Directed	3977			1
120	1442	Directed	3978			1
120	1443	Directed	3979			1
120	2120	Directed	3980			1
367	2819	Directed	3981			1
367	1446	Directed	3982			1
367	1447	Directed	3983			1
367	1448	Directed	3984			1
367	3636	Directed	3985			1
367	3619	Directed	3986			1
136	3631	Directed	3987			1
41	1455	Directed	3988			1
41	1456	Directed	3989			1
41	1457	Directed	3990			1
41	1458	Directed	3991			1
41	3505	Directed	3992			1
41	1460	Directed	3993			1
41	3627	Directed	3994			1
41	1462	Directed	3995			1
41	1463	Directed	3996			1
765	3488	Directed	3997			1
765	1465	Directed	3998			1
770	3895	Directed	3999			1
365	3985	Directed	4000			1
872	3958	Directed	4001			1
644	3554	Directed	4002			1
441	1660	Directed	4003			1
441	3511	Directed	4004			1
441	1477	Directed	4005			1
441	1763	Directed	4006			1
1002	3191	Directed	4007			1
453	3842	Directed	4008			1
480	3523	Directed	4009			1
121	2565	Directed	4010			1
121	2507	Directed	4011			1
121	1491	Directed	4012			1
121	1492	Directed	4013			1
637	2550	Directed	4014			1
134	1623	Directed	4015			1
402	3599	Directed	4016			1
402	1501	Directed	4017			1
402	3812	Directed	4018			1
1148	3659	Directed	4019			1
1245	1552	Directed	4020			1
1245	2932	Directed	4021			1
68	3168	Directed	4022			1
68	1533	Directed	4023			1
68	1512	Directed	4024			1
68	1513	Directed	4025			1
68	1514	Directed	4026			1
68	1515	Directed	4027			1
68	1516	Directed	4028			1
68	3567	Directed	4029			1
68	1518	Directed	4030			1
68	3344	Directed	4031			1
68	2625	Directed	4032			1
68	1521	Directed	4033			1
68	1522	Directed	4034			1
219	2182	Directed	4035			1
219	1524	Directed	4036			1
219	1525	Directed	4037			1
219	1526	Directed	4038			1
219	1527	Directed	4039			1
154	3708	Directed	4040			1
154	1529	Directed	4041			1
408	2203	Directed	4042			1
408	3653	Directed	4043			1
98	1533	Directed	4044			1
661	1534	Directed	4045			1
661	1535	Directed	4046			1
661	3344	Directed	4047			1
661	3117	Directed	4048			1
661	1538	Directed	4049			1
327	3713	Directed	4050			1
