Id	Label	timeset	0	1
55	Deafness		disease	Ear,Nose,Throat
47	Leukemia		disease	Cancer
114	Colon cancer		disease	Cancer
45	Retinitis pigmentosa		disease	Ophthamological
87	Diabetes mellitus		disease	Endocrine
54	Cardiomyopathy		disease	Cardiovascular
81	Mental retardation		disease	Neurological
48	Blood group		disease	Hematological
70	Obesity		disease	Nutritional
137	Breast cancer		disease	Cancer
223	Muscular dystrophy		disease	Muscular
390	Charcot-Marie-Tooth disease		disease	Neurological
220	Epilepsy		disease	Neurological
325	Cataract		disease	Ophthamological
68	Asthma		disease	Respiratory
208	Complementary component deficiency		disease	Immunological
213	Spinocereballar ataxia		disease	Neurological
30	Alzheimer disease		disease	Neurological
65	Hypertension		disease	Cardiovascular
139	Prostate cancer		disease	Cancer
185	Leigh syndrome		disease	Neurological
202	Fanconi anemia		disease	Multiple
302	Epidermolysis bullosa		disease	Dermatological
364	Parkinson disease		disease	Neurological
634	Thyroid carcinoma		disease	Cancer
53	Myopathy		disease	Muscular
86	Hemolytic anemia		disease	Hematological
99	Myocardial infarction		disease	Cardiovascular
117	Gastric cancer		disease	Cancer
155	Lymphoma		disease	Cancer
41	Anemia		disease	Hematological
59	Pancreatic cancer		disease	Cancer
130	Schizophrenia		disease	Psychiatric
239	Thrombophilia		disease	Hematological
285	Ehlers-Danlos syndrome		disease	Connective tissue disorder
640	Spastic ataxia/paraplegia		disease	Neurological
63	Severe combined immunodeciency		disease	Immunological
125	Hypercholesterolemia		disease	Metabolic
197	Ovarian cancer		disease	Cancer
224	Hepatic adenoma		disease	Cancer
236	Rheumatoid arthritis		disease	Connective tissue disorder
414	Ectodermal dysplasia		disease	Dermatological
420	Neuropathy		disease	Neurological
448	Factor x deficiency		disease	Hematological
822	Usher syndrome		disease	Multiple
42	Cone dystrophy		disease	Ophthamological
110	Long QT syndrome		disease	Cardiovascular
122	Corneal dystrophy		disease	Ophthamological
140	Spinal muscular atrophy		disease	Muscular
146	Ichthyosis		disease	Dermatological
186	Mitochondrial complex deciency		disease	Multiple
266	Myasthenic syndrome		disease	Muscular
324	Leber congenital amaurosis		disease	Ophthamological
332	Hypothyroidism		disease	Endocrine
411	Hirschsprung disease		disease	Gastrointestinal
775	Renal cell carcinoma		disease	Cancer
37	Coronary artery disease		disease	Cardiovascular
120	Amyloidosis		disease	Neurological
222	Osteoporosis		disease	Bone
306	Epiphyseal dysplasia		disease	Bone
367	Amyotrophic lateral sclerosis		disease	Neurological
541	MODY		disease	Endocrine
751	Dementia		disease	Neurological
786	Pseudohypoaldosteronism		disease	Endocrine
44	Macular dystrophy		disease	Ophthamological
74	Spondyloepiphyseal dysplasia		disease	Skeletal
109	Spherocytosis		disease	Hematological
164	Renal tubular acidosis		disease	Renal
187	Central hypoventilation syndrome		disease	Respiratory
200	Melanoma		disease	Cancer
215	Night blindness		disease	Ophthamological
219	Ataxia		disease	Neurological
245	Malaria		disease	Immunological
327	Atrial fibrillation		disease	Cardiovascular
384	Glioblastoma		disease	Cancer
607	Macular degeneration		disease	Ophthamological
661	Atopy		disease	Immunological
736	Lipodystrophy		disease	Metabolic
778	Bare lymphocyte syndrome		disease	Immunological
940	Holoprosencephaly		disease	Developmental
80	Renal tubular dysgenesis		disease	Renal
119	Autoimmune disease		disease	Immunological
121	Apolipoprotein deficiency		disease	Metabolic
123	Hypertriglyceridemia		disease	Metabolic
133	Systemic lupus erythematosus		disease	Immunological
158	Migraine		disease	Neurological
180	Maple syrup urine disease		disease	Metabolic
199	Adenocarcinoma		disease	Cancer
203	Wilms tumor		disease	Cancer
235	Platelet defect/deficiency		disease	Hematological
237	Myelogenous leukemia		disease	Cancer
248	Endometrial carcinoma		disease	Cancer
277	Osteopetrosis		disease	Bone
280	HIV		disease	Immunological
290	Osteoarthritis		disease	Connective tissue disorder
314	Lung cancer		disease	Cancer
340	Glaucoma		disease	Ophthamological
369	Lissencephaly		disease	Neurological
401	Keratosis palmoplantaria striata		disease	Dermatological
419	Dejerine-Sottas disease		disease	Multiple
423	Neutropenia		disease	Hematological
429	Elliptocytosis		disease	Hematological
441	Anterior segment anomalies and cataract		disease	Ophthamological
447	Thrombocytopenia		disease	Hematological
474	Bladder cancer		disease	Cancer
497	Rhabdomyosarcoma		disease	Cancer
570	Autism		disease	Psychiatric
602	Huntington disease		disease	Neurological
782	Waardenburg syndrome		disease	Multiple
790	Meningioma		disease	Cancer
851	Retinal cone dsytrophy		disease	Ophthamological
938	Basal cell carcinoma		disease	Cancer
968	Esophageal cancer		disease	Cancer
43	Fundus albipunctatus		disease	Ophthamological
78	Tetralogy of Fallot		disease	Cardiovascular
79	Preeclampsia		disease	Cardiovascular
101	Ichthyosiform erythroderma		disease	Dermatological
113	Adenomas		disease	Cancer
118	Turcot syndrome		disease	Cancer
132	Squamous cell carcinoma		disease	Cancer
165	Cutis laxa		disease	Connective tissue disorder
177	Hypercholanemia		disease	Gastrointestinal
189	Obsessive-compulsive disorder		disease	Psychiatric
201	Nonsmall cell lung cancer		disease	Cancer
216	Hypokalemic periodic paralysis		disease	Renal
226	Ventricular tachycardia		disease	Cardiovascular
227	Hyperparathyroidism		disease	Endocrine
270	Nicotine addiction		disease	Psychiatric
282	Achromatopsia		disease	Ophthamological
292	Stickler syndrome		disease	Multiple
328	Atrioventricular block		disease	Cardiovascular
402	Arrhythmogenic right ventricular dysplasia		disease	Cardiovascular
464	Walker-Warburg syndrome		disease	Multiple
467	Dysfibrinogenemia		disease	Hematological
527	Myoclonic epilepsy		disease	Neurological
560	Erythrokeratoderma		disease	Dermatological
574	Pituitary ACTH-secreting adenoma		disease	Cancer
671	Myelodysplastic syndrome		disease	Muscular
703	Epidermolytic hyperkeratosis		disease	Dermatological
742	Lipoma		disease	Cancer
744	Exudative vitreoretinopathy		disease	Ophthamological
795	Neurofibromatosis		disease	Cancer
796	Cleft palate		disease	Developmental
856	Albinism		disease	Dermatological
880	Pyruvate dehydrogenase deciency		disease	Metabolic
919	Insulin resistance		disease	Metabolic
953	Omenn syndrome		disease	Immunological
984	Paragangliomas		disease	Cancer
985	Pheochromocytoma		disease	Cancer
36	Cerebral amyloid angiopathy		disease	Neurological
38	HDL cholesterol level QTL		disease	Metabolic
46	Stargardt disease		disease	Ophthamological
100	Stroke		disease	Cardiovascular
126	Abetalipoproteinemia		disease	Metabolic
128	Hyperlipoproteinemia		disease	Metabolic
131	Urolithiasise		disease	Metabolic
154	Ataxia-telangiectasia		disease	Immunological
156	T-cell lymphoblastic leukemia		disease	Cancer
181	von Hippel-Lindau syndrome		disease	Cancer
191	Cowden disease		disease	Cancer
192	Polyposis		disease	Cancer
209	Combined immunodeficiency		disease	Immunological
210	Cerebellar ataxia		disease	Neurological
211	Episodic ataxia		disease	Neurological
217	Malignant hyperthermia susceptibility		disease	Neurological
238	Homocystinuria		disease	Metabolic
272	Myotonia congenita		disease	Muscular
286	Osteogenesis imperfecta		disease	Bone
287	Marfan syndrome		disease	Connective tissue disorder
307	Intervertebral disc disease		disease	Neurological
322	CPT deficiency, hepatic		disease	Metabolic
323	Rubenstein-Taybi syndrome		disease	Multiple
331	Graves disease		disease	Endocrine
341	Peters anomaly		disease	Developmental
370	Subcortical laminar heterotopia		disease	Neurological
385	Becker muscular dystrophy		disease	Muscular
408	Atelosteogenesis		disease	Connective tissue disorder
417	Waardenburg-Shah syndrome		disease	Multiple
426	Emery-Dreifuss muscular dystrophy		disease	Muscular
446	Hemorrhagic diathesis		disease	Hematological
454	Ectopia		disease	Ophthamological
457	Weill-Marchesani syndrome		disease	Connective tissue disorder
463	Viral infection		disease	Immunological
466	Afibrinogenemia		disease	Hematological
470	Jackson-Weiss syndrome		disease	Skeletal
471	Kallmann syndrome		disease	Multiple
472	Pfeiffer syndrome		disease	Skeletal
476	Crouzon syndrome		disease	Skeletal
483	Craniosynostosis		disease	Skeletal
484	Saethre-Chotzen syndrome		disease	Developmental
485	Cancer susceptibility		disease	Cancer
491	Iridogoniodysgenesis		disease	Ophthamological
493	Rieger syndrome		disease	Multiple
526	Insomnia		disease	Psychiatric
545	Alexander disease		disease	Multiple
550	Growth hormone		disease	Endocrine
559	Vohwinkel syndrome		disease	Multiple
575	Acromegaly		disease	Endocrine
616	Creutzfeldt-Jakob disease		disease	Neurological
681	Polycythemia		disease	Hematological
682	Thrombocythemia		disease	Hematological
685	Jervell and Lange-Nielsen syndrome		disease	Multiple
691	Gastrointestinal stromal tumor		disease	Cancer
692	Germ cell tumor		disease	Cancer
765	Angelman syndrome		disease	Developmental
767	Rett syndrome		disease	Neurological
772	Multiple endocrine neoplasia		disease	Cancer
773	Parathyroid adenoma		disease	Cancer
779	Multiple sclerosis		disease	Neurological
784	Cafe-au-lait spots		disease	Cancer
785	Muir-Torre syndrome		disease	Cancer
793	Roussy-Levy syndrome		disease	Multiple
797	Hypodontia		disease	Skeletal
799	Parietal foramina		disease	Skeletal
814	Central core disease		disease	Muscular
815	Carney complex		disease	Multiple
838	Neuroblastoma		disease	Cancer
853	Medullary thyroid carcinoma		disease	Cancer
858	Optic atrophy		disease	Ophthamological
873	Coloboma, ocular		disease	Ophthamological
930	Hyperprolinemia		disease	Metabolic
963	Rh-negative blood type		disease	Hematological
982	Liddle syndrome		disease	Renal
1048	Goiter		disease	Endocrine
1050	Loeys-Dietz syndrome		disease	Connective tissue disorder
1053	Thyroid hormone resistance		disease	Endocrine
1061	Sepsis		disease	Immunological
1067	Li-Fraumeni syndrome		disease	Cancer
1070	Osteosarcoma		disease	Cancer
1145	Medulloblastoma		disease	Cancer
1245	Asperger syndrome		disease	Psychiatric
39	Tangier disease		disease	Metabolic
62	Adenosine deaminase deficiency		disease	Immunological
69	Beta-2-adrenoreceptor agonist, reduced response to		disease	Unclassified
76	Leanness, inherited		disease	Nutritional
77	Alagille syndrome		disease	Multiple
98	Atherosclerosis		disease	Cardiovascular
112	Adenoma, periampullary		disease	Cancer
115	Desmoid disease, hereditary		disease	Cancer
116	Gardner syndrome		disease	Cancer
124	Hypoalphalipoproteinemia		disease	Metabolic
127	Hypobetalipoproteinemia		disease	Metabolic
129	Sea-blue histiocyte disease		disease	Hematological
134	Aquaporin-1 deficiency		disease	Unclassified
136	Androgen insensitivity		disease	Endocrine
138	Perineal hypospadias		disease	Endocrine
147	Placental steroid sulfatase deciency		disease	Metabolic
157	Alternating hemiplegia of childhood		disease	Neurological
166	Menkes disease		disease	Neurological
167	Occipital horn syndrome		disease	Multiple
184	GRACILE syndrome		disease	Metabolic
188	Memory impairment		disease	Neurological
198	Papillary serous carcinoma of the peritoneum		disease	Cancer
212	Hemiplegic migraine, familial		disease	Neurological
218	Thyrotoxic periodic paralysis		disease	Endocrine
225	Non-Hodgkin lymphoma		disease	Cancer
228	Hypocalcemia		disease	Endocrine
229	Hypocalciuric hypercalcemia		disease	Endocrine
231	Creatine phosphokinase		disease	Metabolic
232	Rippling muscle disease		disease	Muscular
249	Listeria monocytogenes		disease	Immunological
252	Li Fraumeni syndrome		disease	Cancer
253	Orolaryngeal cancer		disease	Cancer
283	Caffey disease		disease	Connective tissue disorder
284	Dissection of cervical arteries		disease	Connective tissue disorder
288	Achondrogenesis-hypochondrogenesis, type II		disease	Bone
289	Kniest dysplasia		disease	Skeletal
291	SMED Strudwick type		disease	Skeletal
293	Wagner syndrome		disease	Ophthamological
294	Aneurysm, familial arterial		disease	Unclassified
301	EBD		disease	Dermatological
303	Toenail dystrophy, isolated		disease	Dermatological
304	Transient bullous of the newborn		disease	Dermatological
305	Fuchs endothelial corneal dystrophy		disease	Ophthamological
310	Marshall syndrome		disease	Multiple
311	OSMED syndrome		disease	Bone
312	Weissenbacher-Zweymuller syndrome		disease	Connective tissue disorder
313	Pseudoachondroplasia		disease	Skeletal
316	Hemosiderosis, systemic, due to aceruloplasminemia		disease	Hematological
317	Hypoceruloplasminemia		disease	Metabolic
334	Pilomatricoma		disease	Cancer
